feature,importance
batting_performance_score,0.8986506979956956
bowling_performance_score,0.04619542722195112
role_encoded,0.033431147582390304
total_fielding_contributions,0.011810690710837669
runs_scored,0.0047198014026500704
catches,0.0016788106317412294
wickets_taken,0.0015158058870242193
dot_ball_percentage,0.0008759339772471813
wickets_per_over,0.000537043910078817
venue_encoded,0.00017087136158573646
is_home_venue,0.00010624409236484507
runs_per_boundary,8.155128292814529e-05
maidens,5.651990118238056e-05
boundary_percentage,4.696214226224523e-05
experience_years,3.7291144163250754e-05
dots,2.7166743823516422e-05
sixes,2.199223630533161e-05
not_out,1.2241621687624276e-05
fours,8.150943893839023e-06
economy_rate,5.1998619545515555e-06
match_importance,4.329038760547579e-06
balls_faced,2.4897621037187097e-06
runs_conceded,1.3912108297890573e-06
match_type_encoded,1.0845614781563127e-06
age,8.875185907542355e-07
strike_rate,2.654690200445173e-07
experience_level_encoded,1.787449316512779e-09
bowling_style_encoded,3.062728271664533e-19
overs_bowled,2.7106905392892995e-19
age_group_encoded,2.4231930578495257e-19
stumpings,0.0
run_outs,0.0
batting_style_encoded,0.0
